0.61817,0.59731,0.77240
0.45369,0.41143,0.83400
0.34872,0.52952,0.77520
0.28602,1.30557,0.69040
0.22351,0.51813,0.86080
0.18644,0.49325,0.82760
0.14868,0.13645,0.95400
0.12916,0.09984,0.96400
0.12169,0.21062,0.92400
0.11050,0.49574,0.88400
0.05581,0.05445,0.97960
0.03924,0.05368,0.98200
0.03845,0.04223,0.98360
0.03545,0.04868,0.98160
0.03343,0.05047,0.98160
0.03120,0.03070,0.98920
0.02850,0.03284,0.98800
0.02974,0.07259,0.97760
0.02578,0.05508,0.98480
0.02827,0.05330,0.98360
0.01494,0.02499,0.99160
0.01276,0.02650,0.98920
0.01158,0.02498,0.99200
0.01304,0.02529,0.99080
0.01082,0.02485,0.99120
0.01102,0.02615,0.99040
0.01345,0.03095,0.98840
0.01141,0.03061,0.99080
0.01297,0.02769,0.99000
0.00964,0.02612,0.99120
