0.59799,0.42626,0.83480
0.42736,0.83955,0.65640
0.30358,0.95117,0.64800
0.25308,0.41679,0.85000
0.21909,0.41322,0.85680
0.18292,0.21695,0.91760
0.13388,0.37647,0.86280
0.12750,0.19011,0.94400
0.13131,0.13727,0.94640
0.09242,0.17279,0.93240
0.05421,0.03588,0.98640
0.04281,0.03686,0.98440
0.03779,0.04494,0.98480
0.03522,0.04563,0.98480
0.03394,0.03811,0.98600
0.02908,0.02930,0.98960
0.02913,0.05803,0.98320
0.02042,0.02703,0.99040
0.01872,0.04109,0.98440
0.02134,0.03963,0.98520
0.01364,0.02250,0.99200
0.01276,0.02416,0.99240
0.01024,0.02252,0.99200
0.00912,0.02086,0.99240
0.01122,0.02475,0.99040
0.00805,0.02182,0.99280
0.00839,0.02052,0.99280
0.00821,0.02463,0.99080
0.00723,0.02047,0.99200
0.00792,0.02052,0.99240
