0.58513,0.56610,0.78680
0.42983,0.39207,0.83840
0.32684,0.79466,0.73280
0.25619,0.49431,0.81680
0.23055,0.20084,0.91880
0.18792,0.12632,0.95320
0.17173,0.30333,0.88120
0.14619,0.14602,0.93920
0.12456,0.16038,0.94280
0.12216,0.10120,0.96160
0.05971,0.05692,0.97760
0.04804,0.06135,0.97760
0.04371,0.04221,0.98640
0.03502,0.04974,0.98320
0.03255,0.04304,0.98840
0.03136,0.04545,0.98720
0.02612,0.03967,0.99000
0.02381,0.09005,0.97080
0.02410,0.03591,0.99040
0.01953,0.03500,0.99000
0.01376,0.03070,0.99080
0.01164,0.02901,0.99120
0.01069,0.02815,0.99160
0.00998,0.02830,0.99120
0.00913,0.03008,0.99200
0.00923,0.02839,0.99120
0.00780,0.02956,0.99200
0.00880,0.02755,0.99160
0.00799,0.02969,0.99280
0.00793,0.02846,0.99280
